,parent_company,facility_name,facility_type,state,primary_fuel,electricity_production_gj,electricity_production_mwh,scope_1_emissions_tco2e,scope_2_emissions_tco2e,total_emissions_tco2e,emission_intensity_t_per_mwh,is_grid_connected,grid_name,notes,source_id,year,latitude,longitude
0,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,Wind,567719.0,157700.0,19.0,293.0,312,0.0,On,NEM,,ID0075,2014-15,-34.6905625,149.4270092
1,ACCIONA ENERGY OCEANIA PTY LTD,Royalla Solar Farm,F,ACT,Solar,213115.0,59199.0,0.0,15.0,15,0.0,On,NEM,,ID0075,2014-15,-35.4897929,149.1430018
2,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,Wind,2461803.0,683834.0,77.0,1144.0,1221,0.0,On,NEM,,ID0075,2014-15,-37.3946388,143.6386011
3,ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,,,3242637.0,900733.0,96.0,1452.0,1548,,,,,ID0075,2014-15,,
4,AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,Hydro,137094.0,38082.0,5.0,17.0,22,0.0,On,NEM,,ID0075,2014-15,-36.5335771,147.4603458
5,AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,Black Coal,50275548.0,13965430.0,12253123.0,8306.0,12261429,0.88,On,NEM,,ID0075,2014-15,-32.3838413,150.9522752
6,AGL ENERGY LIMITED,Bogong Power Station,F,VIC,Hydro,266917.0,74144.0,83.0,839.0,922,0.0,On,NEM,,ID0075,2014-15,-36.8057885,147.2281158
7,AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,Hydro,27428.0,7619.0,1.0,97.0,98,0.0,On,NEM,,ID0075,2014-15,-32.664602,149.1079379
8,AGL ENERGY LIMITED,Clover Hydro,F,VIC,Hydro,151368.0,42047.0,3.0,51.0,54,0.0,On,NEM,,ID0075,2014-15,-36.7852938,147.2204288
9,AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,Gas,91666.0,25463.0,19260.0,86.0,19346,0.76,On,NEM,,ID0075,2014-15,-34.8438044,138.546753
10,AGL ENERGY LIMITED,Copeton Hydro,F,NSW,Hydro,139785.0,38829.0,1.0,75.0,76,0.0,On,NEM,,ID0075,2014-15,-29.9047558,150.9239324
11,AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,Hydro,1608089.0,446691.0,0.0,727.0,727,0.0,On,NEM,,ID0075,2014-15,-36.5335771,147.4603458
12,AGL ENERGY LIMITED,Eildon Hydro,F,VIC,Hydro,710341.0,197317.0,20.0,153.0,173,0.0,On,NEM,,ID0075,2014-15,-37.2220807,145.9211806
13,AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,Hydro,42254.0,11737.0,0.0,16.0,16,0.0,On,NEM,,ID0075,2014-15,-32.0939757,150.9891361
