facility_id,timestamp,emission,power_in_MW,name,network_region,units,latitude,longitude,fuel_source,value_price_in_$/MWh,value_demand_in_MW
0WAMBOWF,2025-10-01T00:00:00+10:00,0.0,65.23,Wambo,QLD,"[{'code': '0WAMBOWF2', 'fueltech_id': 'wind', 'status_id': 'committed', 'capacity_registered': 248.0, 'dispatch_type': 'GENERATOR', 'created_at': '2025-03-05T01:00:32Z', 'updated_at': '2025-05-01T03:34:18Z'}, {'code': 'WAMBOWF1', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 252.0, 'capacity_maximum': 245.0, 'data_first_seen': '2025-06-21T11:25:00+08:00', 'data_last_seen': '2025-11-04T21:25:00+08:00', 'dispatch_type': 'GENERATOR', 'created_at': '2024-12-02T04:07:05Z', 'updated_at': '2025-07-01T00:55:24Z'}]",-26.603045,151.246876,wind,54.82,5989.24
ADP,2025-10-01T00:00:00+10:00,0.0,0.004,Adelaide Desalination,SA,"[{'code': 'ADPPV1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 24.75, 'capacity_maximum': 19.0, 'data_first_seen': '2021-05-18T13:10:00+10:00', 'data_last_seen': '2025-11-04T19:20:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:30Z', 'updated_at': '2024-12-16T23:52:12Z'}, {'code': 'ADPPV2', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 0.2, 'capacity_maximum': 0.2, 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:30Z', 'updated_at': '2024-12-16T23:50:10Z'}, {'code': 'ADPPV3', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 0.02, 'capacity_maximum': 0.02, 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:30Z', 'updated_at': '2024-12-16T23:51:11Z'}, {'code': 'ADPBA1G', 'fueltech_id': 'battery_discharging', 'status_id': 'operating', 'capacity_registered': 7.76, 'capacity_maximum': 6.15, 'capacity_storage': 12.6, 'data_first_seen': '2021-05-18T10:55:00+10:00', 'data_last_seen': '2025-11-04T21:15:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:30Z', 'updated_at': '2025-06-23T05:34:25Z'}, {'code': 'ADPBA1L', 'fueltech_id': 'battery_charging', 'status_id': 'operating', 'capacity_registered': 7.76, 'capacity_maximum': 6.15, 'capacity_storage': 12.6, 'data_first_seen': '2021-05-18T09:55:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'LOAD', 'created_at': '2023-10-18T04:34:30Z', 'updated_at': '2025-06-23T05:34:16Z'}, {'code': 'ADPBA1', 'fueltech_id': 'battery', 'status_id': 'operating', 'capacity_registered': 7.76, 'capacity_maximum': 6.15, 'capacity_storage': 12.6, 'data_first_seen': '2024-09-18T10:40:00+10:00', 'data_last_seen': '2025-11-04T21:15:00+10:00', 'dispatch_type': 'BIDIRECTIONAL', 'created_at': '2024-10-13T04:24:08Z', 'updated_at': '2024-12-16T23:52:40Z'}]",-35.096948,138.484061,solar_utility,8.11,1564.92
ARWF,2025-10-01T00:00:00+10:00,0.0,35.4,Ararat,VIC,"[{'code': 'ARWF1', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 241.59, 'capacity_maximum': 241.0, 'data_first_seen': '2016-08-19T10:35:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:32Z', 'updated_at': '2025-05-06T02:37:03Z'}]",-37.263393,143.082116,wind,8.95,4893.49
B2PS,2025-10-01T00:00:00+10:00,0.004,0.081,Braemar 2,QLD,"[{'code': 'BRAEMAR7', 'fueltech_id': 'gas_ocgt', 'status_id': 'operating', 'capacity_registered': 173.0, 'capacity_maximum': 173.0, 'emissions_factor_co2': 0.5806, 'data_first_seen': '2009-04-25T09:50:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:32Z', 'updated_at': '2025-10-13T23:55:39Z'}, {'code': 'BRAEMAR5', 'fueltech_id': 'gas_ocgt', 'status_id': 'operating', 'capacity_registered': 173.0, 'capacity_maximum': 173.0, 'emissions_factor_co2': 0.5806, 'data_first_seen': '2009-03-27T16:35:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:32Z', 'updated_at': '2025-10-13T23:55:15Z'}, {'code': 'BRAEMAR6', 'fueltech_id': 'gas_ocgt', 'status_id': 'operating', 'capacity_registered': 173.0, 'capacity_maximum': 173.0, 'emissions_factor_co2': 0.5806, 'data_first_seen': '2009-04-07T15:35:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:32Z', 'updated_at': '2025-10-13T23:56:13Z'}]",-27.109873,150.907653,gas_ocgt,54.82,5989.24
BANGOWF,2025-10-01T00:00:00+10:00,0.0,97.699,Bango,NSW,"[{'code': 'BANGOWF1', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 159.0, 'capacity_maximum': 155.0, 'data_first_seen': '2021-01-14T12:40:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:33Z', 'updated_at': '2025-05-08T03:29:17Z'}, {'code': 'BANGOWF2', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 84.8, 'capacity_maximum': 82.0, 'data_first_seen': '2021-06-10T16:50:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:33Z', 'updated_at': '2025-05-08T03:28:06Z'}]",-34.767208,148.921499,wind,56.98,7105.57
BARCSF,2025-10-01T00:00:00+10:00,0.0,0.1,Barcaldine,QLD,"[{'code': 'BARCSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 20.0, 'capacity_maximum': 20.0, 'data_first_seen': '2016-12-21T15:55:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:33Z', 'updated_at': '2024-12-17T00:34:00Z'}]",-23.547333,145.318972,solar_utility,54.82,5989.24
BASTYAN,2025-10-01T00:00:00+10:00,0.0,57.1,Bastyan,TAS,"[{'code': 'BASTYAN', 'fueltech_id': 'hydro', 'status_id': 'operating', 'capacity_registered': 79.9, 'capacity_maximum': 88.0, 'data_first_seen': '2005-05-16T13:35:00+10:00', 'data_last_seen': '2025-10-20T07:35:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2024-12-17T00:35:39Z'}]",-41.736231,145.531589,hydro,0.12,898.71
BAYSW,2025-10-01T00:00:00+10:00,41.503,558.395,Bayswater,NSW,"[{'code': 'BW02', 'fueltech_id': 'coal_black', 'status_id': 'operating', 'capacity_registered': 660.0, 'capacity_maximum': 685.0, 'emissions_factor_co2': 0.8919, 'data_first_seen': '1998-12-07T02:50:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2025-10-06T23:42:22Z'}, {'code': 'BW01', 'fueltech_id': 'coal_black', 'status_id': 'operating', 'capacity_registered': 660.0, 'capacity_maximum': 660.0, 'emissions_factor_co2': 0.8919, 'data_first_seen': '1998-12-07T02:50:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2025-10-06T23:36:09Z'}, {'code': 'BW03', 'fueltech_id': 'coal_black', 'status_id': 'operating', 'capacity_registered': 660.0, 'capacity_maximum': 685.0, 'emissions_factor_co2': 0.8919, 'data_first_seen': '1998-12-07T02:50:00+10:00', 'data_last_seen': '2025-10-23T02:05:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2025-10-06T23:43:22Z'}, {'code': 'BW04', 'fueltech_id': 'coal_black', 'status_id': 'operating', 'capacity_registered': 660.0, 'capacity_maximum': 685.0, 'emissions_factor_co2': 0.8919, 'data_first_seen': '1998-12-07T02:50:00+10:00', 'data_last_seen': '2025-09-12T21:40:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2025-10-06T23:43:55Z'}]",-32.393502,150.953963,coal_black,56.98,7105.57
BBATTERY,2025-10-01T00:00:00+10:00,0.0,0.015,Bouldercombe,QLD,"[{'code': 'BBATTERY', 'fueltech_id': 'battery_discharging', 'status_id': 'operating', 'capacity_registered': 67.0, 'capacity_maximum': 50.0, 'capacity_storage': 100.0, 'data_first_seen': '2023-08-08T15:25:00+10:00', 'data_last_seen': '2025-11-04T20:40:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2025-09-16T03:42:02Z'}, {'code': 'BBATTERY1', 'fueltech_id': 'battery', 'status_id': 'operating', 'capacity_registered': 67.0, 'capacity_maximum': 50.0, 'capacity_storage': 100.0, 'data_first_seen': '2024-10-16T13:10:00+10:00', 'data_last_seen': '2025-11-04T20:40:00+10:00', 'dispatch_type': 'BIDIRECTIONAL', 'created_at': '2024-10-24T05:23:38Z', 'updated_at': '2025-09-16T03:57:11Z'}, {'code': 'BBATRYL1', 'fueltech_id': 'battery_charging', 'status_id': 'operating', 'capacity_registered': 67.0, 'capacity_maximum': 50.0, 'capacity_storage': 100.0, 'data_first_seen': '2023-08-11T15:25:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'LOAD', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2025-09-16T03:41:44Z'}]",-23.563443,150.459658,battery_discharging,54.82,5989.24
BHB,2025-10-01T00:00:00+10:00,0.0,2.194,Broken Hill Battery,NSW,"[{'code': 'BHBG1', 'fueltech_id': 'battery_discharging', 'status_id': 'operating', 'capacity_registered': 66.0, 'capacity_maximum': 50.0, 'capacity_storage': 50.0, 'data_first_seen': '2023-12-01T09:00:00+10:00', 'data_last_seen': '2025-11-04T20:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2024-09-20T01:13:27Z', 'updated_at': '2025-05-08T04:02:38Z'}, {'code': 'BHBL1', 'fueltech_id': 'battery_charging', 'status_id': 'operating', 'capacity_registered': 66.0, 'capacity_maximum': 50.0, 'capacity_storage': 50.0, 'data_first_seen': '2023-12-04T09:20:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'LOAD', 'created_at': '2024-09-20T01:14:54Z', 'updated_at': '2025-05-08T04:04:11Z'}, {'code': 'BHB1', 'fueltech_id': 'battery', 'status_id': 'operating', 'capacity_registered': 66.0, 'capacity_maximum': 50.0, 'capacity_storage': 50.0, 'data_first_seen': '2024-08-08T17:55:00+10:00', 'data_last_seen': '2025-11-04T20:25:00+10:00', 'dispatch_type': 'BIDIRECTIONAL', 'created_at': '2024-11-06T23:28:31Z', 'updated_at': '2025-05-08T04:05:21Z'}]",-31.9863,141.4204,battery_discharging,56.98,7105.57
BHWF,2025-10-01T00:00:00+10:00,0.0,7.764,Bald Hills,VIC,"[{'code': 'BALDHWF1', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 106.6, 'capacity_maximum': 106.0, 'data_first_seen': '2015-02-24T08:45:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:36Z', 'updated_at': '2025-05-08T01:51:30Z'}]",-38.758189,145.956062,wind,8.95,4893.49
BIALAWF,2025-10-01T00:00:00+10:00,0.0,69.172,Biala,NSW,"[{'code': 'GULLRWF2', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 110.0, 'capacity_maximum': 107.0, 'data_first_seen': '2020-06-20T12:10:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:36Z', 'updated_at': '2025-09-09T01:18:12Z'}]",-34.587836,149.369848,wind,56.98,7105.57
BLUEGSF,2025-10-01T00:00:00+10:00,0.0,0.101,Blue Grass,QLD,"[{'code': 'BLUEGSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 183.0, 'capacity_maximum': 148.0, 'data_first_seen': '2022-08-01T13:15:00+10:00', 'data_last_seen': '2025-11-04T18:10:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:36Z', 'updated_at': '2025-05-06T04:56:18Z'}]",-26.691708,150.500037,solar_utility,54.82,5989.24
BLUFF,2025-10-01T00:00:00+10:00,0.0,46.5,The Bluff,SA,"[{'code': 'BLUFF1', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 52.5, 'capacity_maximum': 53.0, 'data_first_seen': '2011-07-05T15:50:00+08:00', 'data_last_seen': '2025-11-04T21:25:00+08:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:36Z', 'updated_at': '2024-12-19T03:22:32Z'}]",-33.367741,138.79379,wind,8.11,1564.92
